"mun_residencia";"01 - Janeiro/2021";"02 - Fevereiro/2020";"02 - Fevereiro/2021";"03 - Março/2020";"03 - Março/2021";"04 - Abril/2020";"04 - Abril/2021";"05 - Maio/2020";"05 - Maio/2021";"06 - Junho/2020";"06 - Junho/2021";"07 - Julho/2020";"07 - Julho/2021";"08 - Agosto/2020";"09 - Setembro/2020";"10 - Outubro/2020";"11 - Novembro/2020";"12 - Dezembro/2020"
"Acari";72;0;59;0;240;4;110;11;165;28;132;57;19;60;56;15;25;49
"Açu";376;0;294;13;1026;64;689;205;1518;538;910;746;90;512;247;108;320;274
"Afonso Bezerra";8;0;60;1;107;2;192;28;92;37;75;38;2;68;1;4;44;28
"Água Nova";5;0;3;1;4;1;1;1;24;2;81;15;6;9;3;25;81;58
"Alexandria";57;0;50;0;222;7;114;1;511;17;251;46;46;102;31;61;92;129
"Almino Afonso";138;0;24;0;113;1;41;12;54;5;8;4;1;10;12;11;39;36
"Alto do Rodrigues";83;0;38;2;352;7;454;112;458;181;207;196;11;57;47;152;67;90
"Angicos";36;0;123;0;160;4;177;21;201;103;66;62;0;26;8;15;56;20
"Antônio Martins";56;0;32;0;59;2;169;0;197;3;45;3;13;3;18;31;9;32
"Apodi";480;0;215;3;353;57;463;363;1094;524;497;463;62;696;521;209;236;210
"Areia Branca";125;0;225;2;509;75;342;374;329;178;165;142;36;100;53;24;78;78
"Arês";57;0;79;0;137;3;215;37;108;176;37;98;2;33;25;33;26;44
"Augusto Severo (Campo Grande)";0;0;3;0;0;0;3;0;2;0;1;2;0;0;0;0;1;0
"Baía Formosa";3;0;14;1;34;2;76;8;29;73;40;57;3;39;12;94;11;1
"Baraúna";9;0;30;0;64;16;126;145;255;118;336;139;64;131;21;26;76;39
"Barcelona";2;0;7;1;10;0;13;4;36;18;29;12;4;2;2;0;1;4
"Bento Fernandes";3;0;3;0;33;3;50;3;22;13;7;11;0;6;0;3;4;1
"Bodó";6;0;4;0;38;0;13;0;41;5;29;3;3;7;1;11;21;5
"Bom Jesus";101;0;65;0;130;2;67;30;103;56;96;31;30;23;6;31;88;69
"Brejinho";101;0;65;1;183;2;235;45;241;143;101;71;1;12;87;16;111;80
"Caiçara do Norte";19;0;39;1;86;1;91;16;50;68;46;40;3;2;17;31;5;8
"Caiçara do Rio do Vento";7;0;27;0;68;0;66;29;12;24;15;5;9;1;25;34;34;5
"Caicó";1376;0;704;4;981;11;600;172;1048;448;872;1186;249;927;705;381;759;1325
"Campo Redondo";71;0;89;0;58;3;27;13;86;62;60;132;20;45;5;2;11;29
"Canguaretama";28;0;71;8;198;48;359;79;260;150;207;139;21;35;15;16;40;18
"Caraúbas";145;0;131;1;408;9;459;59;237;107;382;130;73;95;111;161;151;139
"Carnaúba dos Dantas";178;0;78;1;90;2;66;12;151;72;118;34;6;12;10;2;17;72
"Carnaubais";21;0;31;1;115;0;252;44;327;42;105;44;4;27;11;41;33;58
"Ceará-Mirim";70;0;129;5;654;27;477;247;464;391;472;209;61;108;51;54;123;69
"Cerro Corá";19;0;17;2;69;1;54;1;74;27;58;30;18;21;31;18;25;16
"Coronel Ezequiel";12;0;3;0;6;0;42;13;34;12;10;16;1;17;10;0;31;46
"Coronel João Pessoa";4;0;22;1;116;3;134;4;102;2;63;6;0;12;5;8;11;10
"Cruzeta";125;0;71;0;175;0;94;16;85;18;49;28;5;20;39;31;199;219
"Currais Novos";288;0;97;3;477;13;493;66;715;264;298;247;30;167;157;79;248;198
"Doutor Severiano";24;0;24;0;29;0;65;7;49;10;71;2;2;50;133;55;94;62
"Encanto";67;0;54;3;57;12;27;3;124;8;74;20;15;18;49;56;73;48
"Equador";4;0;29;0;76;0;6;6;119;19;80;21;8;18;9;4;4;8
"Espírito Santo";23;0;42;1;34;1;102;10;157;109;29;59;4;18;12;3;29;39
"Extremoz";171;1;215;7;840;29;401;163;660;249;533;127;69;60;26;32;89;125
"Felipe Guerra";31;0;43;0;298;8;115;35;138;59;42;75;1;180;165;17;8;25
"Fernando Pedroza";21;0;51;0;82;2;41;10;54;15;48;7;0;9;17;23;59;17
"Florânia";113;0;101;0;200;0;418;14;294;61;52;45;24;11;29;40;47;50
"Francisco Dantas";19;0;8;1;10;0;7;1;89;2;264;2;31;5;20;44;19;27
"Frutuoso Gomes";16;0;31;1;124;2;176;3;307;5;147;3;20;23;38;25;49;40
"Galinhos";5;0;10;0;71;0;36;7;8;35;4;9;1;13;2;57;38;9
"Goianinha";63;0;126;4;400;7;610;126;579;208;153;116;8;143;64;50;83;65
"Governador Dix-Sept Rosado";12;0;35;1;122;2;96;23;155;55;187;53;39;60;359;35;11;11
"Grossos";71;0;87;0;132;5;184;87;249;177;157;64;13;17;6;24;37;47
"Guamaré";58;0;18;1;305;13;400;153;193;195;71;139;6;73;34;38;63;191
"Ielmo Marinho";10;0;30;0;48;0;42;40;25;54;25;34;2;16;11;13;20;5
"Ipanguaçu";28;0;33;0;120;13;172;25;451;80;170;171;15;60;5;18;34;8
"Ipueira";30;0;13;1;93;1;15;1;62;3;14;2;0;8;5;26;11;16
"Itajá";12;0;6;0;51;4;92;30;143;122;53;71;4;13;7;22;5;40
"Itaú";2;0;3;0;31;9;82;7;154;1;18;18;3;28;18;29;30;22
"Jaçanã";77;0;71;0;91;3;58;9;66;132;19;63;0;15;14;4;25;112
"Jandaíra";21;0;32;1;101;0;191;14;48;57;39;47;10;11;6;53;13;22
"Janduís";54;0;18;0;19;0;12;2;5;24;34;79;13;18;13;35;14;25
"Januário Cicco (Boa Saúde)";0;0;0;0;2;0;1;0;0;1;0;0;0;0;1;0;1;0
"Japi";8;0;23;0;39;2;72;7;149;10;52;10;0;15;2;3;4;17
"Jardim de Angicos";9;0;19;0;29;0;41;2;36;2;2;0;2;4;0;2;6;9
"Jardim de Piranhas";56;0;64;1;187;1;193;11;727;261;78;944;5;153;46;31;42;69
"Jardim do Seridó";200;0;166;0;318;0;300;17;174;56;197;29;34;28;34;74;34;79
"João Câmara";247;0;481;1;544;4;390;84;164;270;73;161;10;53;28;65;84;162
"João Dias";13;0;6;0;31;0;13;0;27;1;30;2;2;6;27;14;12;12
"José da Penha";25;0;76;0;52;0;17;0;129;5;131;13;18;5;3;53;51;55
"Jucurutu";39;0;24;2;206;1;527;33;444;105;500;142;36;221;123;82;363;240
"Jundiá";17;0;75;0;161;0;90;10;59;21;23;35;0;2;5;12;28;8
"Lagoa d'Anta";4;0;11;0;40;0;71;13;48;70;44;14;3;13;9;5;32;2
"Lagoa de Pedras";7;0;3;0;56;3;76;7;170;22;74;46;5;5;2;7;6;8
"Lagoa de Velhos";4;0;15;0;36;0;10;15;28;31;13;8;2;3;4;0;16;25
"Lagoa Nova";106;0;52;0;182;0;72;9;89;23;152;29;45;14;19;16;21;56
"Lagoa Salgada";19;0;9;0;114;4;89;13;97;33;47;55;11;22;5;6;19;17
"Lajes";17;0;32;2;98;2;136;16;202;65;163;26;22;9;16;73;74;13
"Lajes Pintadas";25;0;18;0;51;7;58;21;92;34;28;26;7;6;5;4;14;24
"Lucrécia";65;0;30;0;116;0;28;5;138;1;30;2;4;3;43;11;36;40
"Luís Gomes";49;0;72;1;35;0;77;10;61;6;59;20;24;25;26;42;17;33
"Macaíba";316;0;314;4;1039;44;782;330;739;378;568;171;104;97;72;73;245;271
"Macau";110;0;46;0;553;11;340;131;310;185;186;124;36;88;22;14;22;22
"Major Sales";15;0;8;0;26;0;16;2;28;31;119;66;35;20;4;22;16;32
"Marcelino Vieira";166;0;51;0;69;0;104;2;143;31;160;38;16;30;26;51;51;56
"Martins";30;0;15;0;19;1;58;3;76;15;94;4;36;5;8;69;23;13
"Maxaranguape";8;0;23;0;83;1;181;20;28;73;41;41;13;17;5;3;25;11
"Messias Targino";16;0;26;1;31;0;23;8;35;15;17;57;4;43;27;20;38;34
"Montanhas";20;0;30;0;97;2;137;27;77;81;62;53;16;7;0;0;15;16
"Monte Alegre";61;0;59;2;197;8;261;61;170;89;102;57;15;16;10;27;42;28
"Monte das Gameleiras";3;0;4;0;36;0;57;3;17;21;25;11;0;11;4;1;16;6
"Mossoró";1076;4;865;184;3735;367;4063;1732;3582;2333;2498;2091;304;1009;587;1212;1397;1542
"Natal";6554;11;9402;371;12004;1175;7900;6221;8393;11451;6281;6021;805;2500;1985;2124;6091;5785
"Nísia Floresta";95;0;108;1;295;8;263;110;325;203;271;182;55;37;32;32;145;97
"Nova Cruz";71;1;82;2;256;7;381;153;359;241;204;180;91;78;63;36;58;53
"Olho-d'Água do Borges";69;0;17;0;94;0;46;7;17;8;198;15;28;29;73;78;206;199
"Ouro Branco";61;0;109;0;61;2;29;10;68;12;40;14;20;11;2;21;33;51
"Paraná";29;0;73;0;63;0;46;2;51;5;166;4;1;1;1;80;33;30
"Paraú";20;0;47;1;158;1;41;5;73;26;91;28;5;19;7;3;72;75
